Description,Title
Good product..on purchasing in Big Billianday got at Rs.9890READ MORE,Excellent
Everything OK expect low Ringing volumeREAD MORE,Really Nice
Camera quality is satisfactory only....rest IAll things are awesome specially look and feel is great......and one day delivery is cool...READ MORE,Nice product
Good phone value of moneyREAD MORE,Highly recommended
U can buy this mobile...good one...but speaker sound little bit lowREAD MORE,Wonderful
Good phone in this budget by Samsung.Speaker output is still a issue.READ MORE,Worth every penny
This is the best phone in this price . But it's one bad thing is that it doesn't have finger print sensor and also light sensor . It's battery backup is excellent . Over all phone is good . It's camera also is good .READ MORE,Good choice
Nyc oneREAD MORE,Classy product
Superb Mobile speed is awesome looks very nice.... this is perfect mobile I bought only Rs. 10000READ MORE,Nice product
Gud phone in best priceREAD MORE,Super!
BestREAD MORE,Good choice
Good phone in this prize for samsung everything is bestREAD MORE,Fabulous!
Good product.. believe in Samsung...READ MORE,Decent product
Awesome Phone with Sexy looks!!!READ MORE,Excellent
"display is too good , but charging USB is too short , just increase its sizeREAD MORE",Simply awesome
Very good phone .READ MORE,Excellent
This phone is seriously awesomeREAD MORE,Good choice
Nice phone with good battery backup n cameraREAD MORE,Perfect product!
It's ok...I lik samsung alwaysREAD MORE,Super!
Very best productREAD MORE,Terrific purchase
AwesomeREAD MORE,Perfect product!
Very goodREAD MORE,Wonderful
Nice mobileREAD MORE,Brilliant
Good looking & stylishREAD MORE,Highly recommended
It is true value for money ☺☺☺☺READ MORE,Must buy!
BestREAD MORE,Perfect product!
"Ear phones not much good,Phone is doing goodREAD MORE",Good quality product
Product & Service is very good. I was order this Product on 05.09.2016. I received the Product on 07.09.2016 at my registered addresses at Jharsuguda Orissa. Product is deliver from Delhi.READ MORE,Just wow!
Overall good experienceREAD MORE,Classy product
Awsome mobile... nyc features excellent camera.. just buy it !!quick delivery..READ MORE,Perfect product!
Nice products at nice priceREAD MORE,Best in the market!
Nicely packaged original product delivered on time !!READ MORE,Nicely packaged original product delivered on time !!
Hatt's off to flipkart for before time delivery...Good Phone in affordable price.READ MORE,Mind-blowing purchase
Recently I have purchased this mobile from Flipcart. it is nice and working properly. Thanks FlipcartREAD MORE,Good Mobile
NICE PRODUCT WITH AMAZING SMART FEATURESDISPLAY IS SIMPLY AWESOME.PERFORMANCE - 8/10DISPLAY -10/10HANDLING - 8/10LOOK - 10/10BATTERY LIFE UPTO 1.5 DAYS.READ MORE,SMARTPHONE AT ITS BEST.
GoodREAD MORE,Fabulous!
NiceREAD MORE,Good choice
Good in priceREAD MORE,Nice product
very goodREAD MORE,Worth every penny
Awsome phone go for it...READ MORE,Terrific purchase
I am very satisfied with flipkart serviceREAD MORE,Brilliant
great ph.. smooth tauch. no faults.  great experience.READ MORE,Just wow!
SuparREAD MORE,Very Good
GoodREAD MORE,Just wow!
superb quality productREAD MORE,Wonderful
Product is ok.READ MORE,Brilliant
Very nice phone I am quite satisfiedREAD MORE,Classy product
"Product is very good, Battery Backup is better than another smart phone.READ MORE",Wonderful
Good but not vary goodREAD MORE,Very Good
Completely satisfiedREAD MORE,Perfect product!
"After using it for almost two weeks, I am satisfied. Samsung has maintained its brand signature in this set.READ MORE",Good choice
Very nice phoneREAD MORE,Best in the market!
It's two days of delivery and all working fine..but the camera is worst and sound lil bit low..else all good.READ MORE,Delightful
Great product with excellent screen resolution at the priceREAD MORE,Mind-blowing purchase
GoodREAD MORE,Very Good
i will full of satisfiedREAD MORE,Very Good
Excellent.l got this product overnight delivery!!READ MORE,Value-for-money
"good battery pickup, good camera quality, net is speed, and smart look mobile.....READ MORE",Very Good Mobile
Really great service by Flipkart...I got my phone with in 2 days..safe and secure..READ MORE,Wonderful
M gonna explane in on one word... it is superb.. best brand # samsung... greatt deliverd in 2 days.....   nothing is better then it..in 13000... i have orderd two...for mee and frend.READ MORE,Perfect product!
Good product I got. I am satisfied with this from all side.READ MORE,Good quality product
Very good serviceREAD MORE,Brilliant
Excellent product also flipkart was valuable item sent and get good product overall.READ MORE,Just wow!
Good mobileREAD MORE,Value-for-money
GoodREAD MORE,Perfect product!
Very goodREAD MORE,Mind-blowing purchase
"Large HD screen, metallic finish, excellent camera, good battery life - very good value for the price.READ MORE",Excellent Phone for the Price
Very nice product I am full satisfied tanks flipkartREAD MORE,Awesome
Superb service and nice phoneREAD MORE,Really Nice
GoodREAD MORE,Highly recommended
Excellent phone in this priceREAD MORE,Classy product
Good product...clarity of camera is to be improved at this price.....READ MORE,Really Nice
It's vary niceREAD MORE,Pretty good
Very niceREAD MORE,Highly recommended
After using it for 2 days found it worth as of the price... its cam is not up to d mark... So its a 4star for it...READ MORE,Value-for-money
veey good productREAD MORE,Really Nice
Very good phoneREAD MORE,Fabulous!
Super handset  no problams this handsetREAD MORE,Super!
Good phone buy and enjoyREAD MORE,Must buy!
GoodREAD MORE,Very Good
Perfect must buyREAD MORE,Super!
"Very good phone, battery lasted more than a day even used for long time. Worth for money, much better than other mobiles from Chinese cheap phone with higher hardware configuration.READ MORE",Great product
GoodREAD MORE,Really Nice
"i am writing this review after using it for 10 days. Although there are different chinese product but i personally suggest all to avoid this cheap product samsung is well known brand having sevice centre all over the country ,pros1. although not full hd. but really good don't go on no's2 fast and smooth3 good battery life 4 no unnecessary apps like others brandscons1 bad sound quality sound on phone speaker but good on headphone.2 heating problem .avoid using compact cover.READ MORE",complete review
FabulousREAD MORE,Classy product
I vl give 4.5 for this phoneREAD MORE,Perfect product!
Good ph within price with brand samsung and also ws retail is good serviceREAD MORE,Good ph
Excellent phoneREAD MORE,Best in the market!
Classy look of d phn bought it for mom and it is stylishREAD MORE,Must buy!
Good productREAD MORE,Terrific purchase
GOODREAD MORE,Brilliant
"Nice phone but no auto brightness, camera is good, display better than other branded phone.overall good phone.READ MORE",Wonderful
Samsung galaxy j5 2016 is nice phone. Flipkart has done good job...............READ MORE,Value-for-money
It's a good and useful oneREAD MORE,Worth every penny
Its a great experience to bye this phoneREAD MORE,Awesome
GoodREAD MORE,Brilliant
It's awsmREAD MORE,Wonderful
Very good product and recommended for allREAD MORE,Simply awesome
UltimateREAD MORE,Classy product
Samsung j5 zabardast Mobile all the features of this device excellent.READ MORE,Must buy!
Actaually campared to old and new model of this samsung J7 i found minor features also heat issues when i connects to internet. Remaining superREAD MORE,Highly recommended
Nic very gud and easy to useREAD MORE,Worth the money
"Absolute stunner . Speed is gd camera awesome,Display great , Sound not so good but good,Worth for money .Should buy as a mid range phn . Nice work from Samsung & A fast delivery from Flipkart.READ MORE",Nice product
